Character,Combo Rate,Total Occurrences
Falco,0.1435370993989574,1994035
Fox,0.12663061967074848,1913613
DonkeyKong,0.12103659304404765,39707
Mewtwo,0.11994078303857034,75654
YoungLink,0.1169136282072627,54057
Pichu,0.1073482428115016,6260
Pikachu,0.09934729680727988,115826
Marth,0.09173902806930732,1002376
Yoshi,0.08708375825832483,135318
Sheik,0.07583571617600547,774635
GameAndWatch,0.07492408859745534,53681
Luigi,0.07303248127372275,119084
Link,0.07292993983446167,90251
Roy,0.07136836886465048,40340
CaptainFalcon,0.062357967789882826,546971
Kirby,0.06072146408547551,9453
Mario,0.06070133565887915,43574
Ness,0.059761754164031206,94860
Jigglypuff,0.05825003147425406,397150
Samus,0.045967094106096215,235277
Ganondorf,0.045403543151540056,126554
DrMario,0.04499643195792643,102297
IceClimbers,0.03969586003458448,235944
Peach,0.03408606202661123,482954
Bowser,0.017285241331242377,28695
Zelda,0.015995051254860376,11316
