Character,Attack,Combo Rate,Total Occurrences
Ness,Down Throw,0.12977649603460706,1387
DonkeyKong,Cargo Up Throw,0.116410670978173,4948
GameAndWatch,Down Throw,0.10467625899280575,2780
DrMario,Jab 1,0.10388028536627805,5747
Kirby,Kirby Hat: Falco Neutral Special,0.09523809523809523,105
Link,Down Throw,0.09170105456212746,4362
CaptainFalcon,Up Throw,0.08800912469185769,27179
Fox,Up Throw,0.08713883586242599,154535
Samus,Down Throw,0.08549874266554904,3579
Luigi,Down Throw,0.08546655656482247,2422
Peach,Down Throw,0.08355481727574751,6020
Mario,Down Throw,0.0823045267489712,2187
GameAndWatch,Jab 1,0.08161678973960358,2573
Ness,Down Tilt,0.08067680235409515,4078
DonkeyKong,Up Throw,0.08,75
DrMario,Down Throw,0.07155820585947628,3857
YoungLink,Down Throw,0.06611570247933884,1573
CaptainFalcon,Side Special,0.06461086637298091,10215
Pichu,Up Throw,0.060903732809430254,509
Luigi,Taunt/Item Throw,0.06060606060606061,66
Peach,Dair,0.06017287234042553,21056
Link,Up Tilt,0.05943691345151199,3836
Mewtwo,Side Special,0.058823529411764705,17
Ganondorf,Down Throw,0.058228067139643534,11558
Sheik,Up Throw,0.05638474295190713,603
Mewtwo,Down Special,0.05555555555555555,18
Peach,Open Parasol,0.055479639245695545,3659
Mario,Dair,0.05498368064273161,3983
Pikachu,Up Throw,0.05437997724687144,4395
Pichu,Uair,0.052307692307692305,1300
Fox,Jab 2,0.052066024149772905,9027
Link,Up Throw,0.051112943116240726,2426
Sheik,Down Throw,0.05047900623395673,87264
Falco,Up Throw,0.04983810273912663,22854
Roy,Down Throw,0.04921602787456446,2296
Popo,Up Throw,0.04909560723514212,2322
DonkeyKong,Uair,0.0485448332744197,8487
Ganondorf,Side Special,0.04830188679245283,1325
Mario,Jab 1,0.04808510638297872,2350
Roy,Up Throw,0.047619047619047616,1386
Roy,Down Tilt,0.04746411483253588,5225
Yoshi,Up Tilt,0.04680851063829787,1645
Luigi,Jab 1,0.04625850340136054,8085
GameAndWatch,Up Tilt,0.0461133069828722,1518
Marth,Uair,0.04532186761945134,82565
Pikachu,Up Special,0.04450796243364639,2449
Luigi,Up Tilt,0.04412719013627515,4623
Kirby,Jab 2,0.043478260869565216,69
Sheik,Dair,0.04338308457711443,10050
Falco,Up Tilt,0.04314405507531446,77276
Jigglypuff,Up Tilt,0.04291920069504779,5755
Pichu,Fair,0.042801556420233464,257
YoungLink,Up Tilt,0.04261363636363636,352
Falco,Dash Attack,0.04214517078916372,27168
Mario,Up Tilt,0.04139433551198257,2295
Fox,Rapid Jabs,0.04132231404958678,605
Bowser,Side Special,0.0412621359223301,1236
Falco,Down Special,0.04080721688100886,320360
CaptainFalcon,Up Smash,0.04068117313150426,1057
Popo,Dash Attack,0.03952061635040662,7009
GameAndWatch,Neutral Special,0.03937007874015748,254
CaptainFalcon,Down Throw,0.038982568361827896,59719
Luigi,Up Throw,0.03870089459354337,5142
DrMario,Dair,0.0386986301369863,5840
