Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
-20.890598,0.0001,-29.955198,30.11886,16,15,1,2,43.83,71.83,42,8
-29.179,23.450098,-12.178537,92.07611,16,15,1,2,76.85,98.85,60,8
7.266183,0.0001,15.287187,0.0001001358,13,21,1,2,0,16.46,19,8
4.17845,0.0001,-1.9218545,0.0001,17,21,1,2,16.46,31.049997,28,8
9.903629,2.1000998,7.8572245,-2.738207,3,4,2,1,17.92,28.92,12,8
12.882298,0.0001,42.66441,-0.72165185,21,12,1,2,62.799995,81.85,31,8
46.916378,-1.6074786,32.979958,68.13663,16,16,1,2,81.85,99.4,71,8
16.467646,0.0001,20.317873,0.0001,17,21,1,2,11.400001,24.259998,23,8
29.563654,23.450098,21.90351,43.315758,16,15,1,2,34.719997,61.809998,40,8
11.797702,42.0001,25.88233,80.19801,16,14,1,2,61.809998,78.38,58,8
47.283134,23.450098,46.01255,23.450098,3,4,2,1,48.679996,59.679996,12,8
47.014946,17.438515,11.972576,75.983315,20,16,1,2,129.72,148.37,65,2
4.93091,55.25098,23.197958,81.26749,55,15,1,2,151.37,173.08002,51,2
27.688293,11.559285,16.40214,4.091511,55,8,1,2,48.44,64.619995,44,2
16.40214,4.091511,7.289504,14.402432,8,15,1,2,55.619995,79.17,42,2
61.384735,8.444824,83.77263,75.461235,8,15,1,2,111.719986,134.99998,65,2
-24.00081,3.6828752,-28.52788,-2.0314715,3,4,2,1,2,13,12,2
-31.325043,0.002875,-59.422913,0.623875,21,16,1,2,27.96,45.16,29,2
-62.65211,10.24296,-69.899254,17.304892,8,15,1,2,45.16,69.16,37,2
-53.967358,0.623875,-34.312286,79.292244,16,14,1,2,84.51,103.86,67,2
-58.209694,7.4084153,-37.974003,68.448105,8,15,1,2,105.03,129.03,61,31
-32.639935,0.0001,-63.01758,0.0001,21,12,1,2,26.859999,46.409996,29,31
-63.566437,-4.838649,-70.99256,5.8649006,8,15,1,2,46.409996,69.63,37,31
-12.899872,0.0001,-4.8092027,0.0001001358,13,21,1,2,0,17,20,31
62.37883,1.6107821,58.453396,-3.2233112,2,3,2,1,0,5,12,31
35.01623,0.0001,65.0221,0.0001,21,12,1,2,13.43,32.28,30,3
77.93288,0.0001,25.561943,32.69813,8,15,1,2,66.28,91.149994,54,3
-40.37992,0.0001,18.20067,26.559036,8,14,1,2,67.130005,85.57001,63,3
-39.30206,0.0001,-69.679695,0.0001,21,12,1,2,21.829998,40.979996,29,32
-74.184654,4.3591657,-74.550964,11.291045,8,8,1,2,40.979996,58.169994,34,32
-61.53235,11.905044,-47.61174,14.835792,55,15,1,2,86.13,107.53999,47,32
4.988387,0.0001,14.240158,0.0001001358,13,21,1,2,4.15,20.1,20,32
53.693184,0.0001,83.615524,0.0001,21,12,1,2,47.019997,66.27,34,32
39.42684,0.0001,8.604502,0.0001,21,21,1,2,84.689995,92.88999,32,32
13.057873,0.0089,44.480225,0.0089,21,21,1,2,62.300003,70.450005,34,28
44.480225,0.0089,76.80258,0.0089,21,21,1,2,66.55,74.05,32,28
27.46503,0.0089,57.68738,0.0089,21,21,1,2,21.119999,30.619999,34,28
33.267193,0.0089,29.483372,1.6680868,16,21,1,2,3,20.35,31,28
-3.060526,0.0089,-8.907625,-3.8175116,13,8,1,2,20.35,40.99,27,28
-8.907625,-3.8175116,-9.468438,2.197195,8,21,1,2,31.990002,45.440002,32,28
50.75975,0.0089,64.67959,39.223167,16,16,1,2,60.440002,77.32,58,28
64.67959,39.223167,47.302017,103.95478,16,15,1,2,72.92,96.85,71,28
73.152725,0.0089,58.97597,9.819149,20,8,1,2,43.19,66.19,41,28
14.929913,3.6889,13.4062,-3.2072155,2,3,2,1,0,5,12,28
-24.86031,0.0089,-55.382656,0.0089,21,21,1,2,97.67999,105.62999,33,28
-77.29883,0.0089,-44.982338,45.994637,20,15,1,2,117.62999,146.62999,64,28
40.10405,25.0001,68.95266,16.291016,8,10,18,22,25,51,43,3
38.063473,25.0001,39.272884,54.666286,8,16,18,22,84.85,105.369995,66,3
75.10448,1.6032479,99.54323,-13.671759,53,9,18,22,0,13.2,22,3
65.54074,20.338795,50.03658,20.359758,55,8,18,22,56.46,68.66,36,3
50.03658,20.359758,84.85091,18.503838,8,17,18,22,59.66,81.66,53,3
-95.18656,13.184629,-35.82439,26.31102,8,16,18,22,65.73,88.990005,62,3
-47.64007,21.010471,-71.72937,29.360577,55,14,18,22,97.590004,113.78001,49,3
51.566113,20.168003,65.6444,17.420906,55,8,18,22,45.33,58.010002,34,3
39.714733,20.635628,59.886257,17.916916,55,16,18,22,74.96001,89.170006,45,3
-3.710332,0.0001,-17.555235,-0.771613,9,13,1,2,44.46,65.5,43,32
