Character,Move,Total Count
22,16,42866
8,53,1029
2,51,1208
2,21,1148
18,0,93
6,7,177
18,12,5139
12,16,36232
3,14,1564
7,52,102729
19,12,1043
7,0,82
13,51,213
1,18,13510
7,2,24216
10,54,3034
10,7,2615
8,2,1365
6,18,345
0,16,5844
26,53,1763
9,18,2984
21,1,171
25,62,391
9,15,53293
21,61,47
1,2,51008
21,51,110
15,52,2723
0,1,63
1,5,605
6,11,949
2,53,3953
8,12,51
21,12,8068
9,20,10075
24,18,254
3,17,1415
3,1,28
12,8,1232
12,61,16
4,21,13
7,16,28726
19,50,23
4,50,29
1,14,22475
0,6,132
5,14,4224
19,7,46
20,9,119
0,7,239
3,61,37
22,62,1787
12,7,1943
2,11,1057
22,15,286019
10,17,9338
21,55,3621
21,54,2046
20,0,21
1,6,53134
12,13,25467
19,10,1625
3,52,1615
4,16,420
6,13,13263
16,13,16767
20,13,14185
8,20,2856
20,15,3394
23,1,12
20,50,233
18,52,72258
24,21,2
22,8,77276
18,53,56547
25,50,513
8,6,9463
7,3,6673
2,5,3062
17,51,77
4,62,15
2,13,86370
17,6,349
5,3,9
16,2,200
12,21,1350
19,53,29
18,15,28517
25,0,13
4,22,1
6,21,97
12,50,317
20,18,717
19,17,36
9,11,1187
16,14,5766
9,61,345
14,54,130
10,61,43
9,63,18
26,56,2296
6,17,2719
18,21,6025
17,4,2088
9,13,83803
7,1,351
2,10,1530
3,20,4637
15,6,6817
15,9,164
22,17,365077
12,6,504
1,63,1
14,52,121
14,1,59
4,9,555
18,17,45153
16,0,7
3,0,12
14,21,739
20,16,4806
1,51,4835
13,61,172
6,12,3317
3,15,11705
14,13,46299
17,0,22
16,15,3448
9,16,13463
2,20,4409
25,21,3022
23,61,2
2,0,83
4,19,15
0,9,17
16,50,591
3,8,118
13,19,17545
13,50,600
12,10,735
6,20,5802
9,12,59878
10,10,6794
20,1,9936
9,7,1551
22,20,10543
23,50,22
25,7,4290
2,62,1354
15,12,418
21,18,13621
9,10,2022
6,51,162
8,4,365
21,66,1
17,11,2999
24,2,2573
10,56,32482
10,18,10526
16,6,620
20,10,176
4,53,13
8,61,29
7,20,5760
26,61,55
5,10,189
7,5,1077
4,0,1
8,8,1340
21,17,5840
20,2,795
16,11,1039
8,18,179
18,7,7150
4,3,69
5,1,10
18,50,4108
9,52,28285
4,52,199
10,51,632
17,14,10231
9,1,42016
14,15,8202
4,15,2580
3,18,843
3,10,165
19,61,3
20,12,2050
17,12,12746
2,50,2628
14,19,385
1,0,151
25,6,3012
4,17,957
3,57,138
2,19,10215
22,14,23018
12,2,3935
1,20,28015
21,0,21
20,17,1302
9,65,21
13,9,9544
0,11,403
2,16,89478
26,12,645
12,19,64
23,51,2
6,5,381
26,1,41
20,61,6
23,55,509
8,3,431
10,12,22496
0,15,4354
2,9,2687
1,52,31554
24,9,4701
8,15,13136
14,14,15436
13,8,9281
26,14,2466
9,56,6020
18,56,32756
5,11,191
19,2,97
8,11,309
3,2,221
12,17,4906
19,18,508
23,13,1563
25,15,17594
1,16,145948
7,56,87264
19,62,9
18,54,4809
22,5,401
17,62,218
14,50,213
24,7,143
12,56,1162
21,9,123
17,55,5142
26,55,1386
3,54,443
16,61,41
19,6,1430
25,51,186
3,62,464
4,6,43
4,56,315
22,50,7734
5,54,548
3,19,21
1,50,12045
9,14,31232
26,62,88
23,21,124
5,16,460
13,55,3560
7,65,1
21,56,3857
26,19,12314
13,53,144
25,9,2502
9,66,37
4,2,147
22,2,40876
8,56,1387
17,21,6047
8,51,52
3,58,74
15,21,10773
1,9,24880
8,9,4078
16,21,18
14,55,297
7,17,10050
17,10,578
2,3,23775
13,62,462
13,3,1280
17,61,50
22,18,477100
2,17,47283
17,50,266
4,28,9
5,17,510
15,50,832
13,56,3579
23,15,580
17,3,2666
10,2,12332
15,2,1722
13,2,7356
22,56,6375
8,1,50
5,55,419
14,17,1635
25,18,722
26,15,804
1,61,353
6,61,40
13,0,30
10,6,7009
19,1,53
14,11,1165
24,1,8
21,14,3739
16,19,17
26,16,1920
23,8,182
1,17,167226
6,15,3300
17,16,5615
26,17,1405
24,14,16704
12,55,4395
0,55,930
23,12,62
4,5,58
14,56,2221
3,3,69
6,0,22
12,9,2947
26,21,655
22,6,27168
0,2,2350
6,50,409
6,16,7055
0,61,12
14,3,3188
3,6,135
1,56,4768
25,53,246
8,16,6321
21,21,111
14,8,1645
12,20,2449
24,12,155
3,9,558
19,56,84
1,8,80769
22,3,6012
24,5,39
7,13,45335
10,19,5723
9,2,19837
25,52,9808
12,18,1909
16,56,2610
16,10,103
15,18,417
18,20,24611
9,62,1167
26,13,1412
20,5,36
15,14,88352
24,17,5260
13,11,345
6,8,3836
24,20,2155
23,18,192
1,19,22923
22,55,22854
16,5,27
20,7,228
18,19,26127
18,62,802
5,50,59
16,53,126
19,20,18
24,0,1
1,55,154535
23,6,39
6,62,100
0,4,1275
7,6,43704
24,61,3
5,6,611
25,16,22148
25,2,15197
15,16,36434
6,2,4252
25,19,1325
21,53,1094
22,61,254
19,14,2218
15,19,17652
24,53,643
2,55,27179
9,87,3659
20,19,5383
23,20,2
25,54,230
12,0,9
4,12,217
15,61,43
0,53,225
7,12,31766
17,8,4623
18,1,536
10,21,1669
16,7,3062
19,13,220
4,13,50
14,9,6131
17,19,1278
4,1,14
0,10,2537
8,19,4312
21,15,11074
23,52,143
15,51,148
2,66,1
25,8,44
18,18,10849
21,11,957
5,61,11
10,15,15354
1,54,10273
1,1,581
21,62,193
19,54,139
18,16,82565
7,9,13804
2,1,127
19,8,16
20,20,1811
5,56,1
24,54,875
7,54,8424
10,14,6970
6,56,4362
1,15,349941
26,52,3223
1,12,7148
5,21,312
22,11,6213
6,53,70
10,50,1038
17,9,90
26,54,97
2,4,17036
8,7,478
25,20,2665
15,7,624
20,62,35
7,8,19765
13,14,24336
25,55,1491
15,54,8322
13,54,606
23,16,1300
14,62,70
20,53,56
13,52,2523
22,10,38319
4,55,289
3,56,62
7,64,1
10,52,56794
17,53,1223
9,51,273
13,1,1999
7,55,603
12,1,209
5,7,994
24,16,994
26,50,411
5,53,99
3,59,4948
4,51,10
17,54,591
13,6,11571
20,4,22
18,65,1
2,15,42483
0,12,3693
14,0,12
25,10,434
1,11,113445
8,13,6292
14,61,31
22,7,20370
26,7,404
25,61,91
15,0,63
23,11,361
15,15,120897
26,2,509
17,13,15027
24,11,77
4,20,167
20,51,153
16,62,184
14,12,5316
26,10,3271
3,13,853
3,60,52
14,16,19480
6,55,2426
21,6,1509
10,1,331
6,14,4901
9,9,2779
24,62,37
9,0,49
18,8,60478
8,10,2043
0,20,1656
12,54,3002
25,11,879
10,16,22147
19,52,117
10,8,1054
10,62,278
8,54,2014
20,14,1777
5,2,104
6,4,303
21,10,1413
9,64,11
0,52,3023
7,15,96896
23,2,208
22,19,21812
22,12,22380
15,13,29932
25,56,11558
15,56,2457
14,7,3540
18,11,1602
8,52,4128
2,7,3521
13,10,8195
7,50,1615
13,21,8249
9,54,5764
9,19,125
8,62,212
3,11,154
23,9,94
17,56,2422
4,7,579
0,19,75
25,1,104
8,0,7
15,1,138
12,53,570
22,13,103767
17,52,2062
12,62,103
23,17,163
12,51,27
18,9,58662
15,10,8484
7,18,59241
9,53,24953
12,14,2971
21,52,7519
16,54,5046
14,18,977
22,51,3288
26,6,288
6,3,1970
23,10,152
19,11,375
6,19,6514
7,7,60849
26,11,651
2,8,548
18,6,15149
21,50,266
9,8,38
3,50,320
22,21,320360
7,21,5
8,14,24068
16,1,33
20,55,984
15,11,4559
15,3,191
2,2,31717
3,12,134
13,7,10998
2,12,1146
3,16,8487
0,21,15
0,50,63
1,21,344134
15,53,10648
12,11,8551
3,51,125
24,6,407
24,56,2780
17,17,11335
22,54,10888
1,7,7872
13,17,8691
1,62,2974
7,11,8902
16,16,5446
18,61,183
1,10,9152
15,20,2
2,14,63487
9,6,47088
21,16,11481
0,14,1259
23,54,194
9,21,10
4,10,82
14,53,35
17,20,2050
7,53,3924
19,51,8
19,16,82
10,13,1818
