Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
33.556118,23.450098,30.605885,23.450098,17,21,1,2,5,18.06,31,8
7.847123,0.0001,5.3469486,0.0001,17,21,1,2,18.06,25.880001,26,8
-20.890598,0.0001,-29.955198,30.11886,16,15,1,2,43.83,71.83,42,8
2.2101557,48.190056,7.273929,42.0001,17,21,1,2,0,14.66,38,8
-29.179,23.450098,-12.178537,92.07611,16,15,1,2,76.85,98.85,60,8
7.266183,0.0001,15.287187,0.0001001358,13,21,1,2,0,16.46,19,8
4.17845,0.0001,-1.9218545,0.0001,17,21,1,2,16.46,31.049997,28,8
9.903629,2.1000998,7.8572245,-2.738207,3,4,2,1,17.92,28.92,12,8
10.382122,0.0001,12.882298,0.0001,17,21,1,2,58.239998,66.85,23,8
12.882298,0.0001,42.66441,-0.72165185,21,12,1,2,62.799995,81.85,31,8
46.916378,-1.6074786,32.979958,68.13663,16,16,1,2,81.85,99.4,71,8
16.467646,0.0001,20.317873,0.0001,17,21,1,2,11.400001,24.259998,23,8
29.563654,23.450098,21.90351,43.315758,16,15,1,2,34.719997,61.809998,40,8
11.797702,42.0001,25.88233,80.19801,16,14,1,2,61.809998,78.38,58,8
47.283134,23.450098,46.01255,23.450098,3,4,2,1,48.679996,59.679996,12,8
32.630844,26.410067,-30.733418,44.795776,13,18,1,2,106.88,121.88,59,8
-33.803753,23.450098,-31.753647,23.450098,17,21,1,2,124.61,136.67,30,8
47.014946,17.438515,11.972576,75.983315,20,16,1,2,129.72,148.37,65,2
4.93091,55.25098,23.197958,81.26749,55,15,1,2,151.37,173.08002,51,2
27.688293,11.559285,16.40214,4.091511,55,8,1,2,48.44,64.619995,44,2
16.40214,4.091511,7.289504,14.402432,8,15,1,2,55.619995,79.17,42,2
61.384735,8.444824,83.77263,75.461235,8,15,1,2,111.719986,134.99998,65,2
-15.27542,0.002875,-20.025648,0.002875,17,21,1,2,63.85,75.549995,33,2
53.64457,0.623875,83.70227,-9.690365,6,21,1,2,120.79,131.94,59,2
-24.00081,3.6828752,-28.52788,-2.0314715,3,4,2,1,2,13,12,2
-31.325043,0.002875,-59.422913,0.623875,21,16,1,2,27.96,45.16,29,2
-62.65211,10.24296,-69.899254,17.304892,8,15,1,2,45.16,69.16,37,2
-56.36246,0.623875,-56.54233,0.623875,17,21,1,2,69.16,84.51,35,2
-53.967358,0.623875,-34.312286,79.292244,16,14,1,2,84.51,103.86,67,2
-58.209694,7.4084153,-37.974003,68.448105,8,15,1,2,105.03,129.03,61,31
-32.639935,0.0001,-63.01758,0.0001,21,12,1,2,26.859999,46.409996,29,31
-63.566437,-4.838649,-70.99256,5.8649006,8,15,1,2,46.409996,69.63,37,31
-52.39375,27.2001,-47.343388,27.2001,17,21,1,2,83.28,101.85001,46,31
-12.899872,0.0001,-4.8092027,0.0001001358,13,21,1,2,0,17,20,31
11.671507,0.0001,14.771814,0.0001,17,21,1,2,44.1,59.079998,39,31
62.37883,1.6107821,58.453396,-3.2233112,2,3,2,1,0,5,12,31
2.78257,0.0001,5.882874,0.0001,17,21,1,2,0,13.43,33,3
35.01623,0.0001,65.0221,0.0001,21,12,1,2,13.43,32.28,30,3
77.93288,0.0001,25.561943,32.69813,8,15,1,2,66.28,91.149994,54,3
-40.37992,0.0001,18.20067,26.559036,8,14,1,2,67.130005,85.57001,63,3
36.838734,25.0001,31.658268,25.0001,17,21,1,2,5,28.979998,55,3
25.441559,0.0001,22.991285,0.0001,17,21,1,2,5.73,17.279999,33,32
-39.30206,0.0001,-69.679695,0.0001,21,12,1,2,21.829998,40.979996,29,32
-74.184654,4.3591657,-74.550964,11.291045,8,8,1,2,40.979996,58.169994,34,32
-85.5657,0,-41.68838,18.908941,8,15,1,2,58.169994,83.13,52,32
-61.53235,11.905044,-47.61174,14.835792,55,15,1,2,86.13,107.53999,47,32
4.988387,0.0001,14.240158,0.0001001358,13,21,1,2,4.15,20.1,20,32
49.84282,0.0001,53.693184,0.0001,17,21,1,2,33.1,51.269997,39,32
53.693184,0.0001,83.615524,0.0001,21,12,1,2,47.019997,66.27,34,32
39.42684,0.0001,8.604502,0.0001,21,21,1,2,84.689995,92.88999,32,32
82.90962,0.0001,47.36706,6.118656,16,14,1,2,42.9,62.9,57,32
13.057873,0.0089,44.480225,0.0089,21,21,1,2,62.300003,70.450005,34,28
44.480225,0.0089,76.80258,0.0089,21,21,1,2,66.55,74.05,32,28
27.46503,0.0089,57.68738,0.0089,21,21,1,2,21.119999,30.619999,34,28
33.267193,0.0089,29.483372,1.6680868,16,21,1,2,3,20.35,31,28
-3.060526,0.0089,-8.907625,-3.8175116,13,8,1,2,20.35,40.99,27,28
-8.907625,-3.8175116,-9.468438,2.197195,8,21,1,2,31.990002,45.440002,32,28
50.75975,0.0089,64.67959,39.223167,16,16,1,2,60.440002,77.32,58,28
64.67959,39.223167,47.302017,103.95478,16,15,1,2,72.92,96.85,71,28
18.21708,0.0089,25.64734,0.0089,17,21,1,2,0,15.190001,32,28
73.152725,0.0089,58.97597,9.819149,20,8,1,2,43.19,66.19,41,28
43.857014,30.2426,36.57681,30.2426,17,21,1,2,66.19,78.600006,31,28
14.929913,3.6889,13.4062,-3.2072155,2,3,2,1,0,5,12,28
-24.86031,0.0089,-55.382656,0.0089,21,21,1,2,97.67999,105.62999,33,28
-77.29883,0.0089,-44.982338,45.994637,20,15,1,2,117.62999,146.62999,64,28
-44.982338,45.994637,-219.7467,57.30239,15,18,1,2,131.62999,148.62999,79,28
74.20096,0.0089,104.70913,-8.099897,6,14,1,2,170.89001,182.89001,49,28
40.10405,25.0001,68.95266,16.291016,8,10,18,22,25,51,43,3
38.063473,25.0001,39.272884,54.666286,8,16,18,22,84.85,105.369995,66,3
78.33283,0.0001,79.40474,-1.729868,2,3,22,18,0,8,13,3
75.10448,1.6032479,99.54323,-13.671759,53,9,18,22,0,13.2,22,3
82.75888,19.770039,103.95651,-2.10731,55,0,18,22,20.2,24.2,35,3
66.073586,19.937738,87.24127,-2.10731,55,0,18,22,31.84,35.24,37,3
65.54074,20.338795,50.03658,20.359758,55,8,18,22,56.46,68.66,36,3
50.03658,20.359758,84.85091,18.503838,8,17,18,22,59.66,81.66,53,3
-95.18656,13.184629,-35.82439,26.31102,8,16,18,22,65.73,88.990005,62,3
-35.82439,26.31102,-56.47156,16.776316,16,16,18,22,76.770004,97.590004,58,3
-47.64007,21.010471,-71.72937,29.360577,55,14,18,22,97.590004,113.78001,49,3
49.847187,19.668127,71.063,-2.1073103,55,0,18,22,14.65,18.33,36,3
51.566113,20.168003,65.6444,17.420906,55,8,18,22,45.33,58.010002,34,3
39.714733,20.635628,59.886257,17.916916,55,16,18,22,74.96001,89.170006,45,3
50.498413,25.0001,50.498413,38.371197,16,16,18,22,99.170006,119.06,59,3
-3.2374954,0.0001,-4.987734,0.0001,17,21,1,2,6,19.46,29,32
-3.710332,0.0001,-17.555235,-0.771613,9,13,1,2,44.46,65.5,43,32
-2.762471,0.0001,-0.41223195,0.0001,17,21,1,2,0,13.46,30,32
-0.41223195,0.0001,29.510109,0.0001,21,21,1,2,8.46,18.01,34,32
54.037033,0.0001,52.76645,0.000099897385,3,4,2,1,2,13,12,32
76.185524,0.0001,72.40513,0.0001,17,21,1,2,46.659996,61.609993,43,32
41.58279,0.0001,11.06045,0.0001,21,21,1,2,61.609993,69.05999,32,32
11.06045,0.0001,-19.161896,0.0001,21,21,1,2,65.45999,72.45999,33,32
10.6029625,0.0001,-20.219381,0.0001,21,21,1,2,4.15,11.45,33,32
-20.219381,0.0001,-50.741726,0.0001,21,21,1,2,7.95,14.7,32,32
-50.741726,0.0001,-80.51936,0.0001,21,12,1,2,11.45,29.7,29,32
-72.44983,6.362236,-77.37525,8.734502,8,8,1,2,29.7,46.89,31,32
-65.91352,0.0001,-95.38204,-1.5724856,13,21,1,2,46.89,63.14,27,32
31.421495,0.0089,61.180565,0.0089,21,0,1,2,3,8,34,28
43.60361,30.2426,44.851624,30.2426,3,4,2,1,2,13,12,28
40.929207,0.0089,28.046852,0.0089,21,0,1,2,20.06,24.259998,15,28
9.893183,7.028899,5.6690288,0.008900166,2,3,2,1,18.55,23.3,12,28
25.224445,0.0089,41.754284,37.66537,16,15,1,2,58.460003,79.920006,57,28
24.979113,0.0089,54.96029,0.0089,21,16,1,2,5,22.55,27,28
57.80612,30.2426,65.233864,29.76098,16,14,1,2,22.55,44.89,53,28
1.4060383,0.0089,-2.5941358,0.0089,17,21,1,2,49.44,60.17,26,28
45.60346,0.0089,48.70376,0.0089,17,21,1,2,10,23.88,32,28
69.30989,9.269189,75.8906,7.0904493,8,8,1,2,38.879997,55.439995,37,28
76.673615,-0.5210556,90.14974,9.217606,21,21,1,2,95.78999,102.93999,12,28
45.909134,0.0089,45.909134,53.0835,9,15,1,2,102.93999,127.789986,68,28
-4.0267506,74.68604,17.078743,52.292694,55,0,18,22,52.420002,56.420002,48,31
5.153155,74.57741,-34.856773,52.292694,55,0,18,22,56.420002,60.06,45,31
-22.894005,74.62776,12.042615,65.67543,55,16,18,22,60.06,75.47,40,31
22.58267,47.654778,62.70075,42.93538,55,16,18,22,75.47,90.200005,43,31
-65.96103,0.0001,-91.9093,-3.0552318,17,2,18,22,122.54,138.54001,64,31
1.8347633,20.249273,17.194633,15.380344,55,8,18,22,50.620003,62.710003,37,31
33.716324,27.2001,70.71078,29.483488,14,14,18,22,66.19,88.29,42,31
42.62125,0.0001,45.99025,0.0001,17,0,18,22,15,28,36,31
33.627567,47.157738,54.79167,25.092693,55,0,18,22,32,35.64,39,31
31.86256,27.2001,68.82413,19.081242,8,15,18,22,48.96,67.96,49,31
51.853886,27.2001,52.236923,27.910715,16,16,18,22,71.36,94.76,49,31
51.517822,27.2001,62.563778,14.2748,16,8,18,22,94.76,110.51,37,31
-11.330179,54.4001,-12.051308,81.98094,16,14,18,22,110.51,133.52,59,31
28,23.450098,63.833805,21.532753,8,14,18,22,50.339996,68.079994,45,8
63.833805,21.532753,104.54177,-12.726527,14,14,18,22,58.079994,77.17999,39,8
43.046494,43.182632,64.25079,21.342688,55,0,18,22,18.02,21.7,34,8
5.440047,20.297003,21.36856,15.513065,55,8,18,22,53.059998,65.11,38,8
27.876797,0.0001,26.578535,8.179573,16,21,1,2,12,30,32,3
-7.888697,0.0001,-6.618112,0.000099897385,3,4,2,1,3.82,14.82,12,3
63.345947,0.0001,84.6087,15.347239,16,17,1,2,42,60.7,62,3
-69.57599,0.0001,-39.11404,44.16821,20,16,1,2,113.71,131.87,61,3
4.306659,0.0001,13.751068,0.0001,13,21,1,2,0,16.31,22,3
13.751068,0.0001,44.273415,0.0001,21,12,1,2,11.76,31.31,33,3
57.74776,0.0001,80.31936,0.0001001358,13,21,1,2,31.31,46.97,26,3
60.960705,4.610076,64.8117,0.0001,17,21,1,2,68.48999,84.23,32,3
-16.383427,10.650101,-15.046332,4.5313945,2,3,2,1,44.47,49.47,11,3
-15.046332,4.5313945,-13.709239,-1.587312,3,4,2,1,46.47,57.47,12,3
-13.455914,0.0001,-20.756207,0.0001,17,21,1,2,8.4,21.21,32,3
-50.97855,0.0001,-82.10089,0.0001,21,21,1,2,21.21,28.36,32,3
63.047653,12.004254,49.088924,36.522617,8,15,1,2,78.31,99.64,52,3
75.68943,0.0001,71.23916,0.0001,17,21,1,2,104.34,115.44,30,3
39.216824,0.0001,5.6944833,0.0001,21,21,1,2,115.44,123.49,33,3
-29.277382,0.0001,-21.18671,0.0001001358,13,21,1,2,0,16.15,20,3
41.957973,0.0001,72.480316,0.0001,21,21,1,2,20.05,27.25,32,3
55.40733,22.939854,106.02036,-12.0633545,14,14,18,22,31,61.920002,77,2
52.225937,0.26081595,55.175003,0.623875,17,8,18,22,19.349998,41.35,37,2
34.117,22.1251,74.928314,12.183388,8,10,18,22,53.699997,81.979996,52,2
9.902499,0.002875,7.619513,0.002875,17,0,18,22,0,12.610001,32,2
-25.218288,0.002875,-53.46732,0.5925972,21,16,1,2,5,14.549999,26,2
-47.852608,11.275206,-38.34807,-0.2593571,55,8,1,2,17.55,34.01,40,2
-47.743473,11.430347,-58.029903,-1.7106715,55,8,1,2,34.01,49.17,44,2
-7.280695,0.002875,15.033439,7.9013815,13,21,1,2,49.17,66.02,20,2
55.627354,0.623875,59.207516,0.623875,17,21,1,2,131.90001,143.39,30,2
55.10518,0.623875,51.68506,0.1162652,17,21,1,2,143.39,151.8,29,2
10.808098,0.002875,19.937653,0.002875,13,21,1,2,0,16.25,22,2
19.937653,0.002875,49.859997,0.002875,21,12,1,2,12,31.25,32,2
4.7615275,42.1201,16.427942,61.086666,16,15,1,2,43.25,74.48,63,2
-36.378128,0.002875,-62.551487,0.623875,21,21,1,2,21.8,30.25,34,2
-48.96245,0.002875,-55.945103,0.623875,17,21,1,2,30.25,45.39,32,2
-38.016594,22.844145,-26.744656,19.137577,55,8,1,2,48.39,64.67,42,2
-27.05173,19.8751,-40.818687,71.84197,16,15,1,2,64.67,92.67,53,2
-20.09507,38.35285,1.6094507,93.06743,8,15,1,2,106.47,129.12001,67,2
74.15979,19.722609,52.948208,-2.1073098,55,0,18,22,17,21,34,32
64.68443,19.636072,88.538086,0.3371513,55,8,18,22,21,33.64,34,32
74.10432,20.03683,60.972565,12.819672,55,8,18,22,37.64,49.489998,34,32
-5.6190495,0.0001,26.321096,-0.21501374,6,8,18,22,49.489998,69.32,43,32
26.321096,-0.21501374,2.8623042,10.789932,8,8,18,22,61.489998,76.52,44,32
2.8623042,10.789932,37.26844,23.007198,8,14,18,22,69.32,86.52,50,32
69.03487,20.38396,52.969025,20.48639,55,8,18,22,58.83,74.83,37,32
52.969025,20.48639,100.83011,24.938429,8,14,18,22,62.83,86.92,65,32
68.35927,1.7547531,92.97755,-13.086523,53,9,18,22,9.5,23.26,23,28
50.99319,1.5901345,45.732693,6.549716,5,5,22,18,8,13.549999,46,28
-31.266367,6.9838963,-27.661259,6.8463516,2,5,22,18,36.55,41.55,20,28
-25.117168,20.181963,-3.9915247,-2.0985098,55,0,18,22,45.75,49.75,41,28
-9.543846,71.96218,-31.220676,49.317993,55,0,18,22,68.18,71.66,50,28
